folio,fecha,hora_inicio,hora_fin,duracion_min,encuestador_id,encuestador_nombre,seccion,satisfaccion_amlo,satisfaccion_cs,programas_bienestar,sabia_designacion,conoce_ivan,opinion_ivan,cercania_ivan,representa_4t,intencion_voto,descripcion_ivan,prioridad_gobernador,edad,sexo,nivel_educativo,recibe_bienestar
IGU-0014,2025-06-02,10:02,10:09,7.3,E49,Lucía Pedroza,1561,Satisfecho,Regular,Algo,No sabe / No contesta,No,No aplica,Poco cercano,No sabe / No contesta,No sabe / No contesta,No lo conozco bien,Programas sociales,50,Hombre,Universidad,Sí
IGU-0015,2025-06-02,15:24,15:31,7.8,E49,Lucía Pedroza,1541,Muy satisfecho,Satisfecho,Poco,"No lo sabía, pero me parece bien",No,No aplica,Poco cercano,"Sí, totalmente","Sí, con seguridad",Es una persona de trabajo y territorio,Seguridad,38,Mujer,Primaria,Sí
IGU-0016,2025-06-02,10:49,11:00,11.3,E49,Lucía Pedroza,1561,Muy satisfecho,Satisfecho,Algo,"No lo sabía, pero me parece bien",Sí,Buena,Algo cercano,No sabe / No contesta,Probablemente no,No lo conozco bien,Educación,66,Mujer,Preparatoria,No
IGU-0017,2025-06-02,16:36,16:46,10.0,E49,Lucía Pedroza,1561,Insatisfecho,Satisfecho,Algo,"No lo sabía, pero me parece bien",Sí,Regular,Algo cercano,"Sí, totalmente",Probablemente sí,Es una persona de trabajo y territorio,Empleo / economía,61,Mujer,Preparatoria,No
IGU-0018,2025-06-02,13:33,13:46,13.9,E49,Lucía Pedroza,1561,Muy satisfecho,Satisfecho,Algo,"Sí, lo sabía",No,No aplica,Poco cercano,"Sí, totalmente",Probablemente sí,Es una persona de trabajo y territorio,Empleo / economía,31,Hombre,Secundaria,No
IGU-0019,2025-06-02,09:09,09:19,10.3,E55,Alma Figueroa,1486,Regular,Muy satisfecho,Nada,"Sí, lo sabía",Sí,Muy buena,No sabe / No contesta,"Sí, totalmente","Sí, con seguridad",Es una persona de trabajo y territorio,Educación,57,Hombre,Primaria,No
IGU-0020,2025-06-02,14:58,15:06,8.8,E55,Alma Figueroa,1486,Muy satisfecho,Satisfecho,Algo,No sabe / No contesta,Sí,Regular,Poco cercano,"Sí, totalmente",Probablemente sí,Es un operador del gobierno federal,Salud,54,Mujer,Posgrado,Sí
IGU-0021,2025-06-02,14:53,15:10,17.4,E55,Alma Figueroa,1486,Regular,Muy satisfecho,Algo,"No lo sabía, pero me parece bien",Sí,Regular,Poco cercano,No,Probablemente no,Es una persona de trabajo y territorio,Empleo / economía,60,Hombre,Preparatoria,Sí
IGU-0022,2025-06-02,09:54,10:06,12.3,E55,Alma Figueroa,1486,Satisfecho,Satisfecho,Poco,"No lo sabía, pero me parece bien",No,No aplica,Muy cercano,"Sí, totalmente",Probablemente no,No lo conozco bien,Programas sociales,52,Mujer,Preparatoria,No
IGU-0023,2025-06-02,11:05,11:18,13.2,E55,Alma Figueroa,1486,Regular,Muy satisfecho,Poco,"Sí, lo sabía",Sí,Buena,Poco cercano,En parte,"Sí, con seguridad",No lo conozco bien,Seguridad,31,Hombre,Secundaria,Sí
IGU-0024,2025-06-02,13:44,13:52,8.7,E55,Alma Figueroa,1486,Muy satisfecho,Insatisfecho,Mucho,No lo sabía y no me interesa,No,No aplica,Algo cercano,No,No,No lo conozco bien,Empleo / economía,68,Hombre,Secundaria,Sí
IGU-0025,2025-06-02,12:08,12:19,11.4,E55,Alma Figueroa,1486,Satisfecho,Satisfecho,Algo,No lo sabía y no me interesa,No,No aplica,Algo cercano,No,Probablemente sí,Es una persona de trabajo y territorio,Seguridad,30,Hombre,Preparatoria,No
IGU-0026,2025-06-02,15:18,15:31,13.3,E55,Alma Figueroa,1486,Satisfecho,Regular,Nada,"No lo sabía, pero me parece bien",Sí,Buena,Muy cercano,"Sí, totalmente",Probablemente sí,Es una persona de trabajo y territorio,Seguridad,52,Hombre,Primaria,Sí
IGU-0027,2025-06-02,14:26,14:35,9.5,E55,Alma Figueroa,1486,Regular,Satisfecho,Poco,"No lo sabía, pero me parece bien",No,No aplica,Algo cercano,En parte,"Sí, con seguridad",Es una persona de trabajo y territorio,Salud,48,Hombre,Primaria,Sí
IGU-0028,2025-06-02,10:17,10:31,14.1,E55,Alma Figueroa,1486,Muy satisfecho,Satisfecho,Mucho,No sabe / No contesta,No,No aplica,Muy cercano,No,Probablemente no,No lo conozco bien,Seguridad,51,Hombre,Universidad,Sí
IGU-0029,2025-06-02,14:12,14:23,11.2,E16,Antonio Lara,1515,Insatisfecho,Muy satisfecho,Poco,"No lo sabía, pero me parece bien",No,No aplica,Algo cercano,"Sí, totalmente",Probablemente sí,Es un operador del gobierno federal,Seguridad,44,Hombre,Preparatoria,Sí
IGU-0030,2025-06-02,14:59,15:11,12.1,E16,Antonio Lara,1515,Regular,Muy satisfecho,Mucho,"Sí, lo sabía",No,No aplica,Poco cercano,En parte,No,Es una persona de trabajo y territorio,Seguridad,32,Mujer,Universidad,No
IGU-0031,2025-06-02,14:04,14:15,11.2,E16,Antonio Lara,1501,Regular,Satisfecho,Mucho,"Sí, lo sabía",No,No aplica,Poco cercano,No,No sabe / No contesta,Es un operador del gobierno federal,Empleo / economía,23,Mujer,Universidad,No
IGU-0032,2025-06-02,10:57,11:15,18.6,E16,Antonio Lara,1515,Insatisfecho,Regular,Algo,No sabe / No contesta,Sí,No sabe / No contesta,Poco cercano,"Sí, totalmente","Sí, con seguridad",No lo conozco bien,Empleo / economía,59,Hombre,Secundaria,No
IGU-0033,2025-06-02,09:46,09:59,13.0,E16,Antonio Lara,1515,Satisfecho,Satisfecho,Mucho,"Sí, lo sabía",No,No aplica,Muy cercano,En parte,Probablemente sí,No lo conozco bien,Empleo / economía,66,Mujer,Preparatoria,Sí
IGU-0034,2025-06-02,12:26,12:35,9.8,E16,Antonio Lara,1515,Regular,Regular,Mucho,No sabe / No contesta,No,No aplica,Algo cercano,"Sí, totalmente",Probablemente no,No lo conozco bien,Empleo / economía,46,Mujer,Secundaria,Sí
IGU-0035,2025-06-02,14:57,15:12,15.5,E16,Antonio Lara,1515,Satisfecho,Muy satisfecho,Algo,No lo sabía y no me interesa,Sí,Regular,Algo cercano,"Sí, totalmente",Probablemente sí,Es una persona de trabajo y territorio,Educación,25,Hombre,Primaria,No
IGU-0036,2025-06-02,13:20,13:29,9.3,E16,Antonio Lara,1515,Regular,Satisfecho,Algo,"No lo sabía, pero me parece bien",No,No aplica,Algo cercano,"Sí, totalmente","Sí, con seguridad",Es un operador del gobierno federal,Programas sociales,26,Mujer,Secundaria,No
IGU-0037,2025-06-02,13:19,13:32,13.6,E16,Antonio Lara,1515,Muy satisfecho,Muy satisfecho,Algo,No lo sabía y no me interesa,No,No aplica,Poco cercano,No,No sabe / No contesta,Es un operador del gobierno federal,Empleo / economía,39,Mujer,Preparatoria,Sí
IGU-0038,2025-06-02,14:57,15:04,7.1,E16,Antonio Lara,1515,Muy satisfecho,Satisfecho,Poco,"No lo sabía, pero me parece bien",Sí,Buena,Algo cercano,No sabe / No contesta,Probablemente sí,No tengo una opinión clara,Educación,59,Otro,Preparatoria,Sí
IGU-0039,2025-06-02,16:25,16:34,9.0,E16,Antonio Lara,1515,Muy satisfecho,Regular,Mucho,No sabe / No contesta,No,No aplica,Muy cercano,"Sí, totalmente",No sabe / No contesta,No tengo una opinión clara,Seguridad,68,Mujer,Secundaria,No
IGU-0040,2025-06-02,16:16,16:29,13.6,E16,Antonio Lara,1515,Satisfecho,Satisfecho,Nada,"No lo sabía, pero me parece bien",No,No aplica,No sabe / No contesta,En parte,Probablemente no,No lo conozco bien,Seguridad,61,Mujer,Posgrado,No
IGU-0041,2025-06-02,14:24,14:39,15.2,E16,Antonio Lara,1515,Regular,Muy satisfecho,Mucho,"Sí, lo sabía",Sí,Muy buena,Algo cercano,"Sí, totalmente",Probablemente sí,Es un operador del gobierno federal,Seguridad,44,Mujer,Universidad,Sí
IGU-0042,2025-06-02,11:03,11:16,13.5,E16,Antonio Lara,1528,Satisfecho,Satisfecho,Mucho,"No lo sabía, pero me parece bien",No,No aplica,Algo cercano,No,No sabe / No contesta,Es un operador del gobierno federal,Seguridad,52,Hombre,Secundaria,Sí
IGU-0043,2025-06-02,12:37,12:49,12.7,E16,Antonio Lara,1515,Satisfecho,Satisfecho,Mucho,No sabe / No contesta,No,No aplica,No sabe / No contesta,"Sí, totalmente",Probablemente sí,Es una persona de trabajo y territorio,Seguridad,62,Hombre,Posgrado,No
IGU-0044,2025-06-02,15:21,15:33,12.1,E11,Alejandro Díaz,1524,Insatisfecho,Insatisfecho,Algo,No lo sabía y no me interesa,No,No aplica,No sabe / No contesta,No,Probablemente sí,No lo conozco bien,Seguridad,30,Mujer,Preparatoria,No
IGU-0045,2025-06-02,14:21,14:29,8.6,E11,Alejandro Díaz,1524,Muy satisfecho,Satisfecho,Mucho,No lo sabía y no me interesa,No,No aplica,Muy cercano,En parte,"Sí, con seguridad",No tengo una opinión clara,Empleo / economía,44,Hombre,Primaria,Sí
IGU-0046,2025-06-02,16:47,16:57,10.8,E11,Alejandro Díaz,1524,Muy satisfecho,Muy satisfecho,Poco,No sabe / No contesta,No,No aplica,No sabe / No contesta,"Sí, totalmente",No sabe / No contesta,No lo conozco bien,Empleo / economía,22,Hombre,Posgrado,No
IGU-0047,2025-06-02,16:13,16:24,11.6,E11,Alejandro Díaz,1524,Regular,Satisfecho,Poco,"Sí, lo sabía",No,No aplica,Algo cercano,En parte,Probablemente no,No lo conozco bien,Programas sociales,70,Mujer,Secundaria,No
IGU-0048,2025-06-02,13:47,14:03,16.2,E11,Alejandro Díaz,1524,Muy satisfecho,Satisfecho,Algo,"No lo sabía, pero me parece bien",No,No aplica,Algo cercano,No,Probablemente no,Es una persona de trabajo y territorio,Seguridad,20,Hombre,Preparatoria,Sí
IGU-0049,2025-06-02,12:52,13:06,14.0,E11,Alejandro Díaz,1524,Satisfecho,Insatisfecho,Algo,"No lo sabía, pero me parece bien",Sí,Regular,Poco cercano,No sabe / No contesta,Probablemente no,No lo conozco bien,Programas sociales,35,Hombre,Secundaria,Sí
IGU-0050,2025-06-02,09:50,09:57,7.7,E11,Alejandro Díaz,1524,Insatisfecho,Satisfecho,Poco,"No lo sabía, pero me parece bien",No,No aplica,Muy cercano,"Sí, totalmente",No sabe / No contesta,No tengo una opinión clara,Educación,23,Mujer,Preparatoria,Sí
IGU-0051,2025-06-02,10:04,10:18,14.0,E11,Alejandro Díaz,1522,Regular,Muy satisfecho,Poco,"No lo sabía, pero me parece bien",Sí,Regular,Poco cercano,"Sí, totalmente",No,No lo conozco bien,Programas sociales,35,Mujer,Primaria,Sí
IGU-0052,2025-06-02,14:38,14:49,11.8,E11,Alejandro Díaz,1524,Regular,Muy satisfecho,Mucho,No lo sabía y no me interesa,Sí,Regular,Muy cercano,"Sí, totalmente","Sí, con seguridad",Es un operador del gobierno federal,Seguridad,22,Hombre,Universidad,Sí
IGU-0053,2025-06-02,14:14,14:25,11.0,E11,Alejandro Díaz,1545,Muy satisfecho,Regular,Poco,"No lo sabía, pero me parece bien",Sí,Buena,No sabe / No contesta,"Sí, totalmente",Probablemente sí,Es un operador del gobierno federal,Programas sociales,49,Mujer,Secundaria,No
IGU-0054,2025-06-02,14:24,14:38,14.8,E27,Gerardo Fuentes,1496,Satisfecho,Regular,Mucho,"No lo sabía, pero me parece bien",Sí,Buena,Algo cercano,En parte,No,Es una persona de trabajo y territorio,Programas sociales,74,Mujer,Preparatoria,Sí
IGU-0055,2025-06-02,11:53,12:09,16.1,E27,Gerardo Fuentes,1544,Regular,Satisfecho,Algo,"No lo sabía, pero me parece bien",Sí,Buena,Algo cercano,No sabe / No contesta,No,Es un operador del gobierno federal,Seguridad,23,Hombre,Primaria,No
IGU-0056,2025-06-02,14:00,14:15,15.8,E27,Gerardo Fuentes,1544,Insatisfecho,Satisfecho,Algo,"No lo sabía, pero me parece bien",No,No aplica,No sabe / No contesta,No sabe / No contesta,Probablemente sí,No tengo una opinión clara,Seguridad,36,Mujer,Secundaria,Sí
IGU-0057,2025-06-02,10:54,11:04,10.5,E27,Gerardo Fuentes,1544,Regular,Satisfecho,Algo,"Sí, lo sabía",No,No aplica,Algo cercano,"Sí, totalmente",Probablemente sí,Es un operador del gobierno federal,Educación,57,Mujer,Preparatoria,Sí
IGU-0058,2025-06-02,11:16,11:28,12.1,E27,Gerardo Fuentes,1544,Muy satisfecho,Muy satisfecho,Poco,No sabe / No contesta,No,No aplica,Algo cercano,"Sí, totalmente","Sí, con seguridad",No lo conozco bien,Seguridad,65,Mujer,Primaria,No
IGU-0059,2025-06-02,11:54,12:08,14.0,E27,Gerardo Fuentes,1544,Muy satisfecho,Satisfecho,Mucho,No sabe / No contesta,Sí,Regular,No sabe / No contesta,"Sí, totalmente",No,Es una persona de trabajo y territorio,Seguridad,46,Mujer,Preparatoria,Sí
IGU-0060,2025-06-02,09:58,10:13,15.9,E27,Gerardo Fuentes,1544,Muy satisfecho,Muy satisfecho,Algo,"No lo sabía, pero me parece bien",No,No aplica,Algo cercano,En parte,Probablemente sí,No tengo una opinión clara,Seguridad,31,Hombre,Secundaria,Sí
IGU-0061,2025-06-02,09:03,09:14,11.6,E27,Gerardo Fuentes,1544,Satisfecho,Satisfecho,Mucho,"No lo sabía, pero me parece bien",Sí,Buena,Algo cercano,No,Probablemente sí,Es un operador del gobierno federal,Programas sociales,45,Hombre,Universidad,No
IGU-0062,2025-06-02,15:03,15:15,12.4,E27,Gerardo Fuentes,1544,Satisfecho,Muy satisfecho,Algo,No sabe / No contesta,No,No aplica,Muy cercano,No sabe / No contesta,Probablemente sí,No lo conozco bien,Empleo / economía,45,Mujer,Secundaria,Sí
IGU-0063,2025-06-02,11:38,11:47,9.7,E27,Gerardo Fuentes,1544,Regular,Muy satisfecho,Poco,"Sí, lo sabía",Sí,Regular,Algo cercano,"Sí, totalmente",No,Es una persona de trabajo y territorio,Salud,59,Mujer,Secundaria,Sí
IGU-0064,2025-06-02,15:28,15:37,9.4,E27,Gerardo Fuentes,1558,Satisfecho,Muy satisfecho,Poco,"No lo sabía, pero me parece bien",Sí,Regular,Poco cercano,En parte,No sabe / No contesta,Es un operador del gobierno federal,Programas sociales,57,Hombre,Posgrado,Sí
IGU-0065,2025-06-02,15:47,16:02,15.4,E32,Ana García,1563,Muy satisfecho,Muy satisfecho,Algo,"No lo sabía, pero me parece bien",No,No aplica,Algo cercano,"Sí, totalmente",No,Es una persona de trabajo y territorio,Educación,72,Hombre,Preparatoria,Sí
IGU-0066,2025-06-02,15:18,15:35,17.1,E32,Ana García,1563,Regular,Satisfecho,Poco,No lo sabía y no me interesa,No,No aplica,Algo cercano,En parte,"Sí, con seguridad",Es una persona de trabajo y territorio,Seguridad,75,Mujer,Posgrado,Sí
IGU-0067,2025-06-02,15:02,15:14,12.8,E32,Ana García,1563,Satisfecho,Satisfecho,Algo,"Sí, lo sabía",Sí,Buena,Algo cercano,En parte,Probablemente sí,Es un operador del gobierno federal,Educación,59,Hombre,Secundaria,Sí
IGU-0068,2025-06-02,16:16,16:32,16.0,E32,Ana García,1563,Satisfecho,Insatisfecho,Poco,"No lo sabía, pero me parece bien",Sí,Regular,Muy cercano,En parte,No sabe / No contesta,No lo conozco bien,Empleo / economía,56,Mujer,Primaria,Sí
IGU-0069,2025-06-02,10:05,10:19,14.1,E32,Ana García,1563,Satisfecho,Regular,Algo,No lo sabía y no me interesa,Sí,Buena,Poco cercano,En parte,Probablemente sí,Es una persona de trabajo y territorio,Seguridad,31,Hombre,Universidad,Sí
IGU-0070,2025-06-02,11:31,11:42,11.1,E32,Ana García,1563,Regular,Muy satisfecho,Poco,No lo sabía y no me interesa,Sí,Mala,Muy cercano,En parte,No,Es una persona de trabajo y territorio,Empleo / economía,28,Hombre,Preparatoria,No
IGU-0071,2025-06-02,09:22,09:36,14.1,E32,Ana García,1563,Satisfecho,Satisfecho,Mucho,"No lo sabía, pero me parece bien",No,No aplica,Algo cercano,No,Probablemente sí,Es un operador del gobierno federal,Seguridad,69,Mujer,Universidad,Sí
IGU-0072,2025-06-02,12:45,13:02,17.6,E32,Ana García,1563,Satisfecho,Muy satisfecho,Mucho,"No lo sabía, pero me parece bien",No,No aplica,No sabe / No contesta,No sabe / No contesta,No,Es una persona de trabajo y territorio,Seguridad,59,Hombre,Secundaria,No
IGU-0073,2025-06-02,10:03,10:15,12.9,E32,Ana García,1563,Muy satisfecho,Regular,Mucho,No sabe / No contesta,No,No aplica,Muy cercano,En parte,No sabe / No contesta,Es una persona de trabajo y territorio,Empleo / economía,40,Mujer,Secundaria,Sí
IGU-0074,2025-06-02,09:41,09:58,17.7,E32,Ana García,1563,Satisfecho,Muy satisfecho,Nada,No lo sabía y no me interesa,Sí,Regular,Poco cercano,"Sí, totalmente",Probablemente sí,No lo conozco bien,Programas sociales,26,Mujer,Preparatoria,Sí
IGU-0075,2025-06-02,10:50,10:55,5.1,E32,Ana García,1563,Regular,Satisfecho,Algo,"No lo sabía, pero me parece bien",Sí,Muy buena,Algo cercano,En parte,"Sí, con seguridad",Es un operador del gobierno federal,Educación,47,Hombre,Universidad,Sí
IGU-0076,2025-06-02,13:54,14:09,15.5,E32,Ana García,1563,Muy satisfecho,Muy satisfecho,Algo,"No lo sabía, pero me parece bien",No,No aplica,Algo cercano,En parte,Probablemente no,Es una persona de trabajo y territorio,Infraestructura,22,Mujer,Preparatoria,No
IGU-0077,2025-06-02,16:27,16:40,13.3,E32,Ana García,1563,Satisfecho,Satisfecho,Nada,"Sí, lo sabía",Sí,Muy buena,Poco cercano,En parte,No,No lo conozco bien,Educación,65,Mujer,Primaria,Sí
IGU-0078,2025-06-02,14:56,15:08,12.1,E31,María López,1512,Satisfecho,Muy satisfecho,Mucho,No lo sabía y no me interesa,No,No aplica,No sabe / No contesta,"Sí, totalmente","Sí, con seguridad",No lo conozco bien,Salud,38,Mujer,Preparatoria,No
IGU-0079,2025-06-02,15:25,15:38,13.3,E31,María López,1512,Satisfecho,Muy satisfecho,Poco,"Sí, lo sabía",Sí,Regular,Algo cercano,No,Probablemente sí,Es un operador del gobierno federal,Empleo / economía,42,Hombre,Secundaria,No
IGU-0080,2025-06-02,11:16,11:23,7.0,E31,María López,1512,Regular,Regular,Mucho,"No lo sabía, pero me parece bien",No,No aplica,No sabe / No contesta,En parte,Probablemente sí,Es una persona de trabajo y territorio,Programas sociales,37,Hombre,Preparatoria,Sí
IGU-0081,2025-06-02,15:12,15:24,12.3,E31,María López,1512,Regular,Satisfecho,Nada,"Sí, lo sabía",Sí,No sabe / No contesta,No sabe / No contesta,"Sí, totalmente",Probablemente no,Es una persona de trabajo y territorio,Educación,61,Hombre,Primaria,No
IGU-0082,2025-06-02,10:04,10:18,14.1,E31,María López,1512,Muy satisfecho,Regular,Mucho,"No lo sabía, pero me parece bien",Sí,Regular,Poco cercano,No,No sabe / No contesta,Es una persona de trabajo y territorio,Educación,54,Hombre,Secundaria,Sí
IGU-0083,2025-06-02,09:13,09:30,17.4,E31,María López,1512,Regular,Satisfecho,Mucho,"No lo sabía, pero me parece bien",No,No aplica,Algo cercano,"Sí, totalmente",Probablemente sí,No tengo una opinión clara,Seguridad,49,Hombre,Primaria,Sí
IGU-0084,2025-06-02,15:54,16:05,11.4,E31,María López,1536,Satisfecho,Regular,Mucho,"No lo sabía, pero me parece bien",No,No aplica,Muy cercano,En parte,No sabe / No contesta,No lo conozco bien,Programas sociales,62,Mujer,Universidad,Sí
IGU-0085,2025-06-02,11:01,11:11,10.6,E31,María López,1505,Regular,Muy satisfecho,Algo,"No lo sabía, pero me parece bien",No,No aplica,Poco cercano,En parte,Probablemente no,Es una persona de trabajo y territorio,Seguridad,63,Mujer,Preparatoria,No
IGU-0086,2025-06-02,11:42,11:53,11.5,E31,María López,1512,Satisfecho,Satisfecho,Algo,"No lo sabía, pero me parece bien",Sí,Mala,Poco cercano,En parte,"Sí, con seguridad",No tengo una opinión clara,Empleo / economía,73,Hombre,Primaria,Sí
IGU-0087,2025-06-02,10:55,11:10,15.7,E31,María López,1521,Muy satisfecho,Insatisfecho,Poco,No lo sabía y no me interesa,No,No aplica,Algo cercano,En parte,Probablemente no,Es una persona de trabajo y territorio,Seguridad,52,Hombre,Preparatoria,Sí
IGU-0088,2025-06-02,14:19,14:33,14.0,E31,María López,1512,Regular,Satisfecho,Poco,"No lo sabía, pero me parece bien",Sí,Regular,Muy cercano,"Sí, totalmente",Probablemente no,Es un operador del gobierno federal,Programas sociales,67,Mujer,Preparatoria,Sí
IGU-0089,2025-06-02,13:07,13:18,11.4,E14,Manuel Ortega,2830,Muy satisfecho,Regular,Algo,"No lo sabía, pero me parece bien",No,No aplica,Poco cercano,"Sí, totalmente",Probablemente sí,Es un operador del gobierno federal,Empleo / economía,27,Hombre,Preparatoria,No
IGU-0090,2025-06-02,10:06,10:20,14.5,E14,Manuel Ortega,2830,Regular,Satisfecho,Mucho,"Sí, lo sabía",No,No aplica,Muy cercano,En parte,"Sí, con seguridad",Es una persona de trabajo y territorio,Salud,73,Mujer,Secundaria,No
IGU-0091,2025-06-02,15:09,15:22,13.3,E14,Manuel Ortega,1521,Muy satisfecho,Regular,Algo,"No lo sabía, pero me parece bien",No,No aplica,Algo cercano,En parte,"Sí, con seguridad",No tengo una opinión clara,Empleo / economía,33,Hombre,Secundaria,Sí
IGU-0092,2025-06-02,14:34,14:49,15.9,E14,Manuel Ortega,2830,Satisfecho,Muy satisfecho,Mucho,"Sí, lo sabía",No,No aplica,Muy cercano,"Sí, totalmente",Probablemente sí,Es un operador del gobierno federal,Seguridad,21,Mujer,Secundaria,Sí
IGU-0093,2025-06-02,13:41,13:51,10.9,E14,Manuel Ortega,1545,Muy satisfecho,Insatisfecho,Algo,"Sí, lo sabía",No,No aplica,No sabe / No contesta,En parte,No,Es una persona de trabajo y territorio,Salud,66,Hombre,Preparatoria,Sí
IGU-0094,2025-06-02,11:50,12:02,12.0,E14,Manuel Ortega,1484,Regular,Satisfecho,Mucho,No sabe / No contesta,Sí,Muy buena,No sabe / No contesta,En parte,Probablemente sí,No lo conozco bien,Educación,55,Hombre,Universidad,Sí
IGU-0095,2025-06-02,15:57,16:08,11.8,E14,Manuel Ortega,2830,Muy satisfecho,Satisfecho,Mucho,"No lo sabía, pero me parece bien",Sí,Buena,No sabe / No contesta,No sabe / No contesta,Probablemente no,Es un operador del gobierno federal,Seguridad,59,Mujer,Universidad,Sí
IGU-0096,2025-06-02,10:27,10:35,8.6,E14,Manuel Ortega,2830,Satisfecho,Regular,Poco,"No lo sabía, pero me parece bien",No,No aplica,No sabe / No contesta,"Sí, totalmente",Probablemente no,No lo conozco bien,Seguridad,46,Hombre,Secundaria,No
IGU-0097,2025-06-02,16:51,17:04,13.9,E14,Manuel Ortega,2830,Satisfecho,Regular,Algo,No lo sabía y no me interesa,No,No aplica,Algo cercano,En parte,No sabe / No contesta,Es un operador del gobierno federal,Empleo / economía,29,Hombre,Preparatoria,Sí
IGU-0098,2025-06-02,14:48,15:01,13.8,E14,Manuel Ortega,2830,Satisfecho,Regular,Algo,"Sí, lo sabía",No,No aplica,Algo cercano,En parte,Probablemente sí,No tengo una opinión clara,Seguridad,36,Mujer,Preparatoria,Sí
IGU-0099,2025-06-02,16:58,17:11,13.0,E14,Manuel Ortega,2830,Regular,Muy satisfecho,Mucho,No lo sabía y no me interesa,No,No aplica,Algo cercano,No sabe / No contesta,No,No tengo una opinión clara,Educación,36,Hombre,Posgrado,Sí
IGU-0100,2025-06-02,15:22,15:34,12.3,E14,Manuel Ortega,2830,Satisfecho,Muy satisfecho,Algo,No sabe / No contesta,No,No aplica,Poco cercano,"Sí, totalmente",Probablemente no,Es un operador del gobierno federal,Seguridad,60,Mujer,Secundaria,Sí
